time,seq_num,distance_m,RSSI_dBm,SNR_dB,RSSI_norm,SNR_norm,D_norm,P_LoRa,state,state_label,packet_sent,packet_received,packet_status
0,1,115.24,-50.8,8.22,0.865,0.9406,0.977,0.9249,0,LORA,1,1,OK
1,2,82.56,-58.27,7.88,0.7716,0.9294,0.9835,0.8879,0,LORA,1,1,OK
2,3,206.65,-57.45,7.07,0.7818,0.9025,0.9587,0.8767,0,LORA,1,1,OK
3,4,250.72,-62.37,3.47,0.7203,0.7822,0.9499,0.8245,0,LORA,1,1,OK
4,5,140.7,-57.56,5.71,0.7805,0.857,0.9719,0.8724,0,LORA,1,1,OK
5,6,207.71,-63.24,5.95,0.7095,0.8652,0.9585,0.8402,0,LORA,1,0,LOST
6,7,313.77,-63.95,4.67,0.7006,0.8225,0.9372,0.8197,0,LORA,1,1,OK
7,8,326.13,-59.31,4.05,0.7586,0.8017,0.9348,0.8377,0,LORA,1,1,OK
8,9,375.67,-62.45,0.3,0.7194,0.6766,0.9249,0.793,0,LORA,1,1,OK
9,10,368.42,-58.86,3.71,0.7642,0.7903,0.9263,0.8343,0,LORA,1,1,OK
10,11,489.61,-62.51,0.24,0.7187,0.6747,0.9021,0.7832,0,LORA,1,1,OK
11,12,519.09,-65.13,1.92,0.6859,0.7305,0.8962,0.7789,0,LORA,1,0,LOST
12,13,518.07,-61.2,-0.57,0.735,0.6478,0.8964,0.7821,0,LORA,1,1,OK
13,14,605.69,-66.2,1.63,0.6725,0.721,0.8789,0.7647,0,LORA,1,0,LOST
14,15,607.27,-65.05,-0.26,0.6869,0.658,0.8785,0.7578,0,LORA,1,1,OK
15,16,575.49,-68.05,-0.76,0.6494,0.6412,0.8849,0.7419,0,LORA,1,1,OK
16,17,671.46,-68.03,1.63,0.6496,0.7209,0.8657,0.7503,0,LORA,1,1,OK
17,18,639.64,-69.99,1.11,0.6252,0.7036,0.8721,0.7396,0,LORA,1,1,OK
18,19,766.07,-66.18,-0.88,0.6728,0.6374,0.8468,0.7353,0,LORA,1,0,LOST
19,20,754.22,-72.57,2.28,0.5928,0.7426,0.8492,0.7253,0,LORA,1,1,OK
20,21,782.03,-66.94,-0.7,0.6632,0.6433,0.8436,0.7314,0,LORA,1,0,LOST
21,22,791.79,-69.95,-0.04,0.6256,0.6654,0.8416,0.72,0,LORA,1,1,OK
22,23,921.53,-66.92,-0.28,0.6635,0.6574,0.8157,0.7232,0,LORA,1,0,LOST
23,24,887.24,-67.92,-1.46,0.651,0.6179,0.8226,0.713,0,LORA,1,0,LOST
24,25,908.11,-64.87,0.08,0.6891,0.6694,0.8184,0.7369,0,LORA,1,0,LOST
25,26,946.49,-68.43,-1.59,0.6447,0.6138,0.8107,0.7049,0,LORA,1,1,OK
26,27,1025.27,-75.89,-1.72,0.5514,0.6095,0.7949,0.6604,0,LORA,1,1,OK
27,28,1051.49,-71.55,0.85,0.6056,0.6949,0.7897,0.6971,0,LORA,1,1,OK
28,29,1088.42,-75.1,-2.89,0.5612,0.5703,0.7823,0.6515,0,LORA,1,1,OK
29,30,1123.89,-73.37,-5.08,0.5829,0.4975,0.7752,0.6428,0,LORA,1,0,LOST
30,31,1244.0,-67.98,0.56,0.6502,0.6854,0.7512,0.6977,0,LORA,1,0,LOST
31,32,1151.16,-70.07,2.27,0.6242,0.7425,0.7698,0.7061,0,LORA,1,0,LOST
32,33,1180.43,-74.25,-2.26,0.5719,0.5915,0.7639,0.6526,0,LORA,1,1,OK
33,34,1199.92,-75.31,-4.62,0.5587,0.5127,0.76,0.63,0,LORA,1,1,OK
34,35,1305.97,-72.76,-2.51,0.5905,0.583,0.7388,0.6483,0,LORA,1,1,OK
