time,distance_m,RSSI_dBm,SNR_dB,P_LoRa_raw,P_LoRa_ema,trend,w1_rssi,w2_snr,w3_dist,P_LOW_eff,P_HIGH_eff,state,state_label
0,74.51,-83.1,10.0,0.7808,0.7808,0.0,0.399,0.299,0.302,0.3,0.7,0,LORA
1,31.79,-74.46,7.96,0.8057,0.7883,0.0075,0.399,0.3,0.301,0.296,0.698,0,LORA
2,202.22,-87.67,10.0,0.7517,0.7773,-0.011,0.396,0.298,0.306,0.305,0.703,0,LORA
3,386.03,-94.13,10.0,0.7105,0.7572,-0.02,0.392,0.296,0.312,0.31,0.706,0,LORA
4,174.96,-88.62,9.78,0.7461,0.7539,-0.0033,0.397,0.298,0.305,0.302,0.701,0,LORA
5,227.43,-90.66,10.0,0.7356,0.7484,-0.0055,0.395,0.298,0.307,0.303,0.702,0,LORA
6,551.88,-95.48,5.14,0.6476,0.7182,-0.0302,0.389,0.294,0.317,0.315,0.709,0,LORA
7,482.53,-99.83,4.62,0.6247,0.6901,-0.028,0.39,0.295,0.314,0.314,0.708,0,LORA
8,349.36,-93.39,4.35,0.6601,0.6811,-0.009,0.393,0.297,0.31,0.304,0.703,0,LORA
9,553.49,-99.95,9.67,0.6703,0.6779,-0.0033,0.389,0.294,0.317,0.302,0.701,0,LORA
10,454.87,-98.16,8.58,0.6733,0.6765,-0.0014,0.391,0.295,0.314,0.301,0.7,0,LORA
11,506.74,-95.22,6.85,0.668,0.6739,-0.0026,0.39,0.295,0.315,0.301,0.701,0,LORA
12,665.05,-98.59,6.57,0.6407,0.664,-0.01,0.387,0.293,0.32,0.305,0.703,0,LORA
13,393.84,-93.71,5.39,0.6666,0.6648,0.0008,0.392,0.296,0.312,0.3,0.7,0,LORA
14,474.1,-93.97,10.0,0.7067,0.6774,0.0126,0.391,0.295,0.314,0.294,0.696,0,LORA
15,700.42,-101.49,6.06,0.6198,0.6601,-0.0173,0.386,0.293,0.321,0.309,0.705,0,LORA
16,684.68,-99.29,6.11,0.6318,0.6516,-0.0085,0.386,0.293,0.321,0.304,0.703,0,LORA
17,935.49,-105.2,5.84,0.5876,0.6324,-0.0192,0.381,0.291,0.328,0.31,0.706,0,LORA
