time,seq_num,distance_m,RSSI_dBm,SNR_dB,RSSI_norm,SNR_norm,D_norm,P_LoRa,state,state_label,packet_sent,packet_received,packet_status
0,47,50.0,-83.0,22.0,0.4111,1.0,0.99,0.705,1,SWITCHING,1,1,OK
1,48,50.0,-77.0,27.0,0.4778,1.0,0.99,0.738,1,SWITCHING,1,1,OK
2,49,60.0,-94.0,10.0,0.2889,1.0,0.988,0.644,1,SWITCHING,1,1,OK
3,50,60.0,-94.0,10.0,0.2889,1.0,0.988,0.644,1,SWITCHING,1,1,OK
4,51,60.0,-84.0,20.0,0.4,1.0,0.988,0.699,1,SWITCHING,1,1,OK
5,52,60.0,-90.0,14.0,0.3333,1.0,0.988,0.666,1,SWITCHING,1,1,OK
6,53,60.0,-96.0,8.0,0.2667,0.9333,0.988,0.613,1,SWITCHING,1,1,OK
7,54,60.0,-97.0,7.0,0.2556,0.9,0.988,0.597,1,SWITCHING,1,1,OK
8,55,60.0,-102.0,2.0,0.2,0.7333,0.988,0.519,1,SWITCHING,1,1,OK
9,56,60.0,-86.0,7.0,0.3778,0.9,0.988,0.658,1,SWITCHING,1,1,OK
10,57,60.0,-91.0,2.0,0.3222,0.7333,0.988,0.58,1,SWITCHING,1,1,OK
11,58,60.0,-92.0,1.0,0.3111,0.7,0.988,0.565,1,SWITCHING,1,1,OK
12,59,60.0,-96.0,-3.0,0.2667,0.5667,0.988,0.502,1,SWITCHING,1,1,OK
13,60,60.0,-99.0,-6.0,0.2333,0.4667,0.988,0.456,1,SWITCHING,1,1,OK
14,61,60.0,-101.0,-8.0,0.2111,0.4,0.988,0.425,1,SWITCHING,1,1,OK
15,62,60.0,-89.0,4.0,0.3444,0.8,0.988,0.611,1,SWITCHING,1,1,OK
16,63,60.0,-97.0,31.0,0.2556,1.0,0.988,0.627,1,SWITCHING,1,1,OK
17,64,60.0,-96.0,32.0,0.2667,1.0,0.988,0.632,1,SWITCHING,1,1,OK
18,65,70.0,-93.0,35.0,0.3,1.0,0.986,0.649,1,SWITCHING,1,1,OK
19,66,70.0,-100.0,28.0,0.2222,1.0,0.986,0.61,1,SWITCHING,1,1,OK
20,67,70.0,-94.0,34.0,0.2889,1.0,0.986,0.644,1,SWITCHING,1,1,OK
21,68,70.0,-89.0,39.0,0.3444,1.0,0.986,0.671,1,SWITCHING,1,1,OK
22,69,70.0,-95.0,33.0,0.2778,1.0,0.986,0.638,1,SWITCHING,1,1,OK
23,70,70.0,-94.0,-5.0,0.2889,0.5,0.986,0.494,1,SWITCHING,1,1,OK
24,71,70.0,-75.0,14.0,0.5,1.0,0.986,0.749,1,SWITCHING,1,1,OK
25,72,70.0,-83.0,6.0,0.4111,0.8667,0.986,0.665,1,SWITCHING,1,1,OK
26,73,70.0,-78.0,11.0,0.4667,1.0,0.986,0.732,1,SWITCHING,1,1,OK
27,74,70.0,-80.0,9.0,0.4444,0.9667,0.986,0.711,1,SWITCHING,1,1,OK
28,75,70.0,-81.0,8.0,0.4333,0.9333,0.986,0.696,1,SWITCHING,1,1,OK
29,76,70.0,-75.0,14.0,0.5,1.0,0.986,0.749,1,SWITCHING,1,1,OK
30,77,70.0,-82.0,23.0,0.4222,1.0,0.986,0.71,1,SWITCHING,1,1,OK
31,78,70.0,-77.0,28.0,0.4778,1.0,0.986,0.738,1,SWITCHING,1,1,OK
32,79,70.0,-84.0,21.0,0.4,1.0,0.986,0.699,1,SWITCHING,1,1,OK
33,80,70.0,-79.0,26.0,0.4556,1.0,0.986,0.727,1,SWITCHING,1,1,OK
34,81,70.0,-89.0,16.0,0.3444,1.0,0.986,0.671,1,SWITCHING,1,1,OK
35,82,70.0,-88.0,17.0,0.3556,1.0,0.986,0.677,1,SWITCHING,1,1,OK
36,83,70.0,-84.0,21.0,0.4,1.0,0.986,0.699,1,SWITCHING,1,1,OK
37,84,70.0,-86.0,18.0,0.3778,1.0,0.986,0.688,1,SWITCHING,1,1,OK
38,85,70.0,-80.0,24.0,0.4444,1.0,0.986,0.721,1,SWITCHING,1,1,OK
39,86,70.0,-95.0,9.0,0.2778,0.9667,0.986,0.628,1,SWITCHING,1,1,OK
40,87,70.0,-87.0,17.0,0.3667,1.0,0.986,0.682,1,SWITCHING,1,1,OK
41,88,70.0,-90.0,14.0,0.3333,1.0,0.986,0.666,1,SWITCHING,1,1,OK
42,89,70.0,-96.0,8.0,0.2667,0.9333,0.986,0.612,1,SWITCHING,1,1,OK
43,90,70.0,-92.0,12.0,0.3111,1.0,0.986,0.655,1,SWITCHING,1,1,OK
44,91,70.0,-81.0,23.0,0.4333,1.0,0.986,0.716,1,SWITCHING,1,1,OK
45,92,70.0,-87.0,17.0,0.3667,1.0,0.986,0.682,1,SWITCHING,1,1,OK
46,93,70.0,-83.0,21.0,0.4111,1.0,0.986,0.705,1,SWITCHING,1,1,OK
47,94,70.0,-88.0,16.0,0.3556,1.0,0.986,0.677,1,SWITCHING,1,1,OK
48,95,70.0,-88.0,16.0,0.3556,1.0,0.986,0.677,1,SWITCHING,1,1,OK
49,96,70.0,-81.0,23.0,0.4333,1.0,0.986,0.716,1,SWITCHING,1,1,OK
50,97,70.0,-99.0,5.0,0.2333,0.8333,0.986,0.566,1,SWITCHING,1,1,OK
51,98,70.0,-93.0,11.0,0.3,1.0,0.986,0.649,1,SWITCHING,1,1,OK
52,99,70.0,-99.0,-14.0,0.2333,0.2,0.986,0.376,1,SWITCHING,1,1,OK
53,100,70.0,-99.0,-14.0,0.2333,0.2,0.986,0.376,1,SWITCHING,1,1,OK
54,101,70.0,-98.0,-13.0,0.2444,0.2333,0.986,0.391,1,SWITCHING,1,1,OK
55,102,70.0,-99.0,-14.0,0.2333,0.2,0.986,0.376,1,SWITCHING,1,1,OK
56,103,80.0,-100.0,-15.0,0.2222,0.1667,0.984,0.36,1,SWITCHING,1,1,OK
57,104,80.0,-103.0,-18.0,0.1889,0.0667,0.984,0.313,1,SWITCHING,1,1,OK
58,105,80.0,-103.0,-18.0,0.1889,0.0667,0.984,0.313,1,SWITCHING,1,1,OK
59,106,80.0,-98.0,30.0,0.2444,1.0,0.984,0.621,1,SWITCHING,1,1,OK
60,107,80.0,-104.0,24.0,0.1778,1.0,0.984,0.588,1,SWITCHING,1,1,OK
61,108,80.0,-103.0,25.0,0.1889,1.0,0.984,0.593,1,SWITCHING,1,1,OK
62,109,80.0,-102.0,26.0,0.2,1.0,0.984,0.599,1,SWITCHING,1,1,OK
63,110,80.0,-103.0,25.0,0.1889,1.0,0.984,0.593,1,SWITCHING,1,1,OK
64,111,80.0,-103.0,25.0,0.1889,1.0,0.984,0.593,1,SWITCHING,1,1,OK
