timestamp,seq_num,radiation_wm2,state_label,RSSI_dBm,SNR_dB,distance_m,P_LoRa
2026-06-01 17:08:46,1,1.0,LORA,-23.0,81.0,6.6,0.9999
2026-06-01 17:08:48,2,1.0,LORA,-25.0,79.0,6.6,0.9999
2026-06-01 17:08:50,3,1.0,LORA,-24.0,80.0,6.6,0.9999
2026-06-01 17:08:52,4,1.0,LORA,-25.0,79.0,6.6,0.9999
2026-06-01 17:08:54,5,1.0,LORA,-25.0,79.0,6.6,0.9999
2026-06-01 17:08:56,6,1.0,LORA,-24.0,80.0,6.6,0.9999
2026-06-01 17:08:58,7,1.0,LORA,-24.0,80.0,6.6,0.9999
2026-06-01 17:09:00,8,1.0,LORA,-24.0,80.0,40.3,0.9995
2026-06-01 17:09:02,9,1.0,LORA,-22.0,82.0,40.3,0.9995
2026-06-01 17:09:04,10,1.0,LORA,-22.0,82.0,40.3,0.9995
2026-06-01 17:09:06,11,1.0,LORA,-23.0,81.0,40.3,0.9995
2026-06-01 17:09:08,12,1.0,LORA,-23.0,81.0,40.3,0.9995
2026-06-01 17:09:10,13,1.0,SWITCHING,-101.0,3.0,40.3,0.535
2026-06-01 17:09:12,14,1.0,LORA,-24.0,80.0,40.3,0.9995
2026-06-01 17:09:14,15,1.0,LORA,-25.0,79.0,40.3,0.9995
2026-06-01 17:09:16,16,1.0,LORA,-22.0,82.0,40.8,0.9995
2026-06-01 17:09:33,17,1.0,LORA,-32.0,73.0,40.8,0.9883
2026-06-01 17:09:34,18,1.0,LORA,-27.0,74.0,36.0,0.9995
2026-06-01 17:09:36,19,1.0,LORA,-22.0,79.0,36.0,0.9995
2026-06-01 17:09:49,20,1.0,LORA,-22.0,79.0,29.5,0.9996
2026-06-01 17:09:51,21,1.0,LORA,-27.0,74.0,29.5,0.9996
2026-06-01 17:10:04,22,1.0,LORA,-20.0,82.0,24.7,0.9997
2026-06-01 17:10:06,23,1.0,LORA,-21.0,81.0,24.7,0.9997
2026-06-01 17:10:10,24,1.0,LORA,-19.0,83.0,24.7,0.9997
2026-06-01 17:10:12,25,1.0,LORA,-19.0,83.0,24.7,0.9997
2026-06-01 17:10:14,26,1.0,LORA,-19.0,83.0,24.7,0.9997
2026-06-01 17:10:16,27,1.0,LORA,-19.0,83.0,24.7,0.9997
2026-06-01 17:10:20,28,1.0,LORA,-33.0,69.0,24.6,0.983
2026-06-01 17:10:22,29,1.0,LORA,-20.0,82.0,24.6,0.9997
2026-06-01 17:10:24,30,1.0,LORA,-19.0,83.0,24.6,0.9997
2026-06-01 17:10:26,31,1.0,LORA,-19.0,83.0,24.6,0.9997
2026-06-01 17:10:30,32,1.0,LORA,-20.0,82.0,24.6,0.9997
2026-06-01 17:10:32,33,1.0,LORA,-21.0,81.0,24.6,0.9997
2026-06-01 17:10:34,34,1.0,LORA,-21.0,107.0,24.6,0.9997
2026-06-01 17:10:36,35,1.0,LORA,-21.0,107.0,24.8,0.9997
2026-06-01 17:10:40,36,1.0,LORA,-21.0,107.0,24.8,0.9997
2026-06-01 17:10:42,37,1.0,LORA,-21.0,107.0,24.8,0.9997
2026-06-01 17:10:44,38,1.0,LORA,-22.0,106.0,24.8,0.9997
2026-06-01 17:10:46,39,1.0,LORA,-22.0,106.0,24.8,0.9997
2026-06-01 17:10:50,40,1.0,LORA,-22.0,106.0,24.8,0.9997
2026-06-01 17:10:52,41,1.0,LORA,-22.0,106.0,24.4,0.9997
2026-06-01 17:10:54,42,1.0,LORA,-21.0,107.0,24.4,0.9997
2026-06-01 17:10:56,43,1.0,LORA,-22.0,106.0,24.4,0.9997
2026-06-01 17:11:00,44,1.0,LORA,-21.0,107.0,24.4,0.9997
2026-06-01 17:11:02,45,1.0,LORA,-22.0,106.0,24.4,0.9997
2026-06-01 17:11:04,46,1.0,LORA,-22.0,106.0,24.4,0.9997
2026-06-01 17:11:06,47,1.0,LORA,-22.0,106.0,24.4,0.9997
2026-06-01 17:11:11,48,1.0,LORA,-22.0,106.0,22.1,0.9997
2026-06-01 17:11:12,49,1.0,LORA,-23.0,105.0,22.1,0.9997
2026-06-01 17:11:14,50,1.0,LORA,-21.0,107.0,22.1,0.9997
2026-06-01 17:11:16,51,1.0,LORA,-21.0,107.0,22.1,0.9997
2026-06-01 17:11:18,52,1.0,LORA,-23.0,105.0,22.1,0.9997
2026-06-01 17:11:20,53,1.0,LORA,-22.0,106.0,22.1,0.9997
2026-06-01 17:11:22,54,1.0,LORA,-22.0,106.0,22.1,0.9997
2026-06-01 17:11:24,55,1.0,LORA,-22.0,106.0,10.4,0.9999
2026-06-01 17:11:26,56,1.0,LORA,-22.0,106.0,10.4,0.9999
2026-06-01 17:11:28,57,1.0,LORA,-23.0,105.0,10.4,0.9999
2026-06-01 17:11:30,58,1.0,LORA,-21.0,107.0,10.4,0.9999
2026-06-01 17:11:32,59,1.0,LORA,-22.0,106.0,10.4,0.9999
2026-06-01 17:11:34,60,1.0,LORA,-21.0,82.0,10.4,0.9999
2026-06-01 17:11:36,61,1.0,LORA,-21.0,82.0,10.4,0.9999
2026-06-01 17:11:38,62,1.0,LORA,-23.0,80.0,10.4,0.9999
2026-06-01 17:11:40,63,1.0,LORA,-22.0,81.0,8.5,0.9999
2026-06-01 17:11:42,64,1.0,LORA,-20.0,83.0,8.5,0.9999
2026-06-01 17:11:44,65,1.0,LORA,-21.0,82.0,8.5,0.9999
2026-06-01 17:11:46,66,1.0,LORA,-20.0,83.0,8.5,0.9999
2026-06-01 17:11:49,67,1.0,LORA,-22.0,81.0,8.5,0.9999
2026-06-01 17:11:50,68,1.0,LORA,-21.0,82.0,8.5,0.9999
