RSSI_dBm,SNR_dB,Distance_km,Radiation_Wm2,Expected_Packets,Received_Packets,Packet_Loss,PDR_Percent
-47,23,0.0244,1649,2,2,0,100.00
-88,29,0.0519,969,3,3,0,100.00
-80,78,0.0664,1654,4,4,0,100.00
-52,23,0.0881,1015,5,5,0,100.00
-47,28,0.1068,1388,6,6,0,100.00
-40,14,0.1244,1761,8,8,0,100.00
-74,19,0.1476,983,10,10,0,100.00
-43,61,0.1765,928,11,11,0,100.00
-63,23,0.1955,1218,13,13,0,100.00
-44,19,0.2074,753,15,15,0,100.00
-68,57,0.2193,955,16,16,0,100.00
-63,35,0.2459,1510,17,17,0,100.00
-83,65,0.2650,1352,18,18,0,100.00
-44,47,0.2876,1656,19,19,0,100.00
-76,48,0.3102,1125,21,21,0,100.00
-43,64,0.3273,1416,23,23,0,100.00
-32,66,0.3446,1363,25,25,0,100.00
-52,33,0.3602,1390,27,27,0,100.00
-43,80,0.3898,1688,28,28,0,100.00
-69,63,0.3999,719,30,30,0,100.00
-67,66,0.4232,1700,31,31,0,100.00
-69,49,0.4464,1310,32,32,0,100.00
-71,62,0.4756,1274,33,33,0,100.00
-66,36,0.4964,836,34,34,0,100.00
-30,22,0.5150,809,35,35,0,100.00
-69,80,0.5354,750,36,36,0,100.00
-78,53,0.5495,1773,38,38,0,100.00
-59,25,0.5746,1761,40,40,0,100.00
-69,60,0.5901,1635,42,42,0,100.00
-84,75,0.6036,1258,44,44,0,100.00
-69,52,0.6276,600,45,45,0,100.00
-51,26,0.6455,1359,47,47,0,100.00
-75,12,0.6646,705,49,49,0,100.00
-42,66,0.6906,1261,51,51,0,100.00
-81,43,0.7186,1780,53,53,0,100.00
-81,80,0.7335,1768,54,54,0,100.00
-77,14,0.7540,1116,56,56,0,100.00
-49,26,0.7687,1309,58,58,0,100.00
-31,41,0.7951,618,60,60,0,100.00
-65,69,0.8090,1498,61,61,0,100.00
-37,23,0.8264,1698,63,63,0,100.00
-67,15,0.8523,1073,64,64,0,100.00
-47,38,0.8776,1305,66,66,0,100.00
-30,71,0.9065,1102,67,67,0,100.00
-40,25,0.9186,1690,68,68,0,100.00
-31,20,0.9377,1266,69,69,0,100.00
-89,48,0.9511,563,70,70,0,100.00
-76,41,0.9632,908,72,72,0,100.00
-36,79,0.9753,1385,74,74,0,100.00
-46,30,1.0019,965,76,76,0,100.00
-61,22,1.0226,1737,78,78,0,100.00
-30,47,1.0506,1163,80,80,0,100.00
-33,42,1.0723,776,82,82,0,100.00
-86,80,1.0970,1320,84,84,0,100.00
-82,73,1.1170,987,86,86,0,100.00
-88,36,1.1455,1284,88,88,0,100.00
-42,55,1.1719,1548,89,89,0,100.00
-57,16,1.1854,1595,90,90,0,100.00
-85,30,1.1956,612,92,92,0,100.00
-81,57,1.2117,762,93,93,0,100.00
-44,17,1.2366,1545,95,95,0,100.00
-76,24,1.2472,1005,97,97,0,100.00
-33,15,1.2735,1111,99,99,0,100.00
-55,70,1.2980,1449,101,101,0,100.00
-68,30,1.3273,1409,103,103,0,100.00
-46,54,1.3380,1741,104,104,0,100.00
-68,46,1.3603,729,105,105,0,100.00
-80,70,1.3748,1669,106,106,0,100.00
-66,48,1.3856,601,108,108,0,100.00
-37,71,1.4107,760,109,109,0,100.00
-42,80,1.4402,1388,110,110,0,100.00
-66,61,1.4560,1262,111,111,0,100.00
-50,39,1.4783,1468,113,113,0,100.00
-52,29,1.5076,1095,114,114,0,100.00
-31,47,1.5304,677,115,115,0,100.00
-63,38,1.5434,966,116,116,0,100.00
-67,67,1.5695,1449,118,118,0,100.00
-79,24,1.5863,1591,120,120,0,100.00
-85,16,1.6011,1023,122,122,0,100.00
-80,69,1.6137,1467,123,123,0,100.00
-56,33,1.6421,1261,125,125,0,100.00
-43,70,1.6708,1794,127,127,0,100.00
-73,22,1.6886,1124,129,129,0,100.00
-37,36,1.7183,682,131,131,0,100.00
-42,55,1.7452,1195,132,132,0,100.00
-44,11,1.7721,1521,134,134,0,100.00
-73,65,1.8001,787,135,135,0,100.00
-35,19,1.8194,783,136,136,0,100.00
-31,13,1.8447,678,138,138,0,100.00
-77,80,1.8635,1747,140,140,0,100.00
-72,24,1.8905,676,142,142,0,100.00
-63,59,1.9091,1743,143,143,0,100.00
-34,29,1.9346,1535,144,144,0,100.00
-49,28,1.9527,586,145,145,0,100.00
-48,70,1.9799,1415,147,147,0,100.00
-68,44,1.9996,617,148,148,0,100.00
-81,15,2.0275,1528,150,150,0,100.00
-40,71,2.0441,548,152,152,0,100.00
-59,23,2.0554,630,153,153,0,100.00
-74,40,2.0817,1448,154,154,0,100.00
-87,61,2.1057,816,155,154,1,99.35
-74,29,2.1290,1764,156,154,2,98.72
-76,66,2.1570,609,158,155,3,98.10
-53,15,2.1868,1024,159,155,4,97.48
-57,32,2.2080,670,160,155,5,96.88
-30,46,2.2245,974,162,156,6,96.30
-36,37,2.2383,686,163,156,7,95.71
-87,36,2.2547,1781,164,156,8,95.12
-69,54,2.2671,1525,166,157,9,94.58
-39,53,2.2953,1076,168,158,10,94.05
-50,55,2.3142,643,169,158,11,93.49
-60,75,2.3349,1264,171,159,12,92.98
-59,79,2.3550,615,173,160,13,92.49
-60,71,2.3717,545,175,161,14,92.00
-59,34,2.3939,1412,177,162,15,91.53
-69,76,2.4085,812,178,162,16,91.01
-67,73,2.4205,1291,179,162,17,90.50
-38,32,2.4324,1274,180,162,18,90.00
-39,62,2.4588,1058,182,163,19,89.56
-86,19,2.4754,557,184,164,20,89.13
-59,27,2.5026,1014,185,164,21,88.65
-76,26,2.5240,711,186,164,22,88.17
-89,23,2.5532,1472,188,165,23,87.77
-80,35,2.5783,1660,189,165,24,87.30
-86,45,2.6010,669,190,165,25,86.84
-81,56,2.6214,815,192,166,26,86.46
-49,58,2.6316,721,194,167,27,86.08
-47,51,2.6535,947,196,168,28,85.71
-67,79,2.6781,1655,198,169,29,85.35
-35,54,2.7040,1277,199,169,30,84.92
-39,45,2.7337,1030,201,170,31,84.58
-50,61,2.7497,1609,203,171,32,84.24
-30,56,2.7672,578,205,172,33,83.90
-62,33,2.7933,1359,206,172,34,83.50
-53,28,2.8225,872,208,173,35,83.17
-63,79,2.8327,1301,210,174,36,82.86
-51,77,2.8621,1446,211,174,37,82.46
-72,57,2.8820,1670,213,175,38,82.16
-50,43,2.9009,1019,214,175,39,81.78
-69,16,2.9140,1020,216,176,40,81.48
-48,30,2.9290,1407,218,177,41,81.19
-45,34,2.9422,1158,219,177,42,80.82
-56,37,2.9708,1767,221,178,43,80.54
-70,58,2.9848,612,222,178,44,80.18
-45,63,3.0112,1274,224,179,45,79.91
-64,50,3.0294,639,225,179,46,79.56
-70,49,3.0579,1652,226,179,47,79.20
-62,55,3.0829,937,228,180,48,78.95
-46,78,3.0984,1567,229,180,49,78.60
-44,44,3.1126,1053,230,180,50,78.26
-80,18,3.1263,1674,231,180,51,77.92
-67,77,3.1462,1566,232,180,52,77.59
-82,69,3.1734,1313,233,180,53,77.25
-76,57,3.1907,1325,235,181,54,77.02
-40,25,3.2109,1784,237,182,55,76.79
-30,28,3.2403,977,239,183,56,76.57
-50,77,3.2566,1230,240,183,57,76.25
-79,42,3.2774,1265,241,183,58,75.93
-70,65,3.2956,620,243,184,59,75.72
-74,34,3.3168,1263,244,184,60,75.41
-80,68,3.3302,1307,245,184,61,75.10
-84,61,3.3501,1716,247,185,62,74.90
-73,59,3.3741,1463,249,186,63,74.70
-83,31,3.3908,758,250,186,64,74.40
-41,19,3.4112,1509,252,187,65,74.21
-42,66,3.4280,814,253,187,66,73.91
-53,46,3.4567,1717,254,187,67,73.62
-71,45,3.4672,1724,255,187,68,73.33
-54,32,3.4951,1361,256,187,69,73.05
-88,31,3.5165,940,258,188,70,72.87
-79,70,3.5415,1282,259,188,71,72.59
-68,46,3.5550,600,260,188,72,72.31
-67,19,3.5838,1057,261,188,73,72.03
-64,19,3.6053,1123,262,188,74,71.76
-44,26,3.6309,1511,264,189,75,71.59
-34,20,3.6466,976,266,190,76,71.43
-81,34,3.6671,859,268,191,77,71.27
-72,27,3.6916,760,270,192,78,71.11
-57,65,3.7039,1643,272,193,79,70.96
-72,73,3.7175,1745,274,194,80,70.80
-87,29,3.7288,523,275,194,81,70.55
-63,71,3.7434,1438,277,195,82,70.40
-53,31,3.7701,700,279,196,83,70.25
-53,77,3.7821,915,280,196,84,70.00
-83,56,3.8096,1367,281,196,85,69.75
-41,53,3.8235,1763,282,196,86,69.50
-79,57,3.8415,1224,284,197,87,69.37
-56,32,3.8619,1678,285,197,88,69.12
-63,19,3.8793,724,286,197,89,68.88
-74,80,3.9055,1410,287,197,90,68.64
-76,63,3.9281,1395,288,197,91,68.40
-80,44,3.9492,1557,290,198,92,68.28
-62,67,3.9670,1141,291,198,93,68.04
-88,30,3.9771,1373,293,199,94,67.92
-30,46,4.0029,1674,294,199,95,67.69
-39,53,4.0137,1334,296,200,96,67.57
-55,13,4.0424,1128,298,201,97,67.45
-55,44,4.0586,759,300,202,98,67.33
-89,51,4.0824,600,302,203,99,67.22
-56,78,4.1120,895,304,204,100,67.11
