RSSI_dBm,SNR_dB,Distance_km,Radiation_Wm2,Expected_Packets,Received_Packets,Packet_Loss,PDR_Percent
-121,-1,4.1272,1085,305,204,101,66.89
-129,-6,4.1418,1248,307,205,102,66.78
-101,-1,4.1613,614,308,205,103,66.56
-105,2,4.1841,1203,309,205,104,66.34
-102,-2,4.1988,1522,311,206,105,66.24
-113,-11,4.2170,1377,313,207,106,66.13
-101,-2,4.2449,1571,314,207,107,65.92
-107,-1,4.2551,828,316,208,108,65.82
-101,-3,4.2818,1238,317,208,109,65.62
-120,-5,4.3114,1347,318,208,110,65.41
-109,4,4.3298,1284,319,208,111,65.20
-125,-13,4.3575,1461,321,209,112,65.11
-119,-7,4.3806,997,323,210,113,65.02
-121,-11,4.4106,1560,324,210,114,64.81
-125,-10,4.4250,1267,325,210,115,64.62
-108,4,4.4481,961,326,210,116,64.42
-118,-13,4.4637,1412,327,210,117,64.22
-109,3,4.4816,1647,328,210,118,64.02
-106,0,4.4959,1179,330,211,119,63.94
-129,-2,4.5179,874,331,211,120,63.75
-117,0,4.5468,1711,333,212,121,63.66
-103,4,4.5628,632,334,212,122,63.47
-124,-18,4.5802,889,335,212,123,63.28
-129,-13,4.6009,1515,337,213,124,63.20
-102,-2,4.6253,1704,338,213,125,63.02
-121,2,4.6447,688,340,214,126,62.94
-101,-3,4.6578,614,342,215,127,62.87
-124,1,4.6777,1284,344,216,128,62.79
-113,-2,4.6946,885,345,216,129,62.61
-111,-19,4.7220,1199,346,216,130,62.43
-103,-4,4.7344,1396,347,216,131,62.25
-121,-13,4.7603,1399,349,217,132,62.18
-112,-9,4.7706,1701,351,218,133,62.11
-108,-2,4.7915,1397,352,218,134,61.93
-127,-1,4.8056,1368,353,218,135,61.76
-103,-4,4.8335,854,355,219,136,61.69
-128,-9,4.8609,1724,356,219,137,61.52
-103,-5,4.8839,1068,357,219,138,61.34
-107,3,4.8969,631,358,219,139,61.17
-111,-6,4.9243,860,360,220,140,61.11
-129,-15,4.9510,1218,362,221,141,61.05
-108,-5,4.9766,934,363,221,142,60.88
-110,-3,4.9990,1076,364,221,143,60.71
-111,-14,5.0200,1541,365,221,144,60.55
-119,-1,5.0333,651,367,222,145,60.49
-105,-5,5.0479,1124,368,222,146,60.33
-104,2,5.0710,796,370,223,147,60.27
-108,1,5.0833,1203,372,224,148,60.22
-105,3,5.1073,709,373,224,149,60.05
-101,3,5.1354,750,374,224,150,59.89
-109,3,5.1575,847,376,225,151,59.84
-117,-5,5.1697,1177,378,226,152,59.79
-105,4,5.1947,1155,380,227,153,59.74
-127,-8,5.2053,817,382,228,154,59.69
-103,-2,5.2194,1781,384,229,155,59.64
-112,-4,5.2301,1766,385,229,156,59.48
