RSSI_dBm,SNR_dB,Distance_km,Radiation_Wm2,Expected_Packets,Received_Packets,Packet_Loss,PDR_Percent
-33,71,9.29015827178955,2,11,11,0,100
-19,85,9.29015827178955,2,12,12,0,100
-33,71,9.29015827178955,2,13,13,0,100
-33,71,9.29015827178955,2,14,14,0,100
-23,81,9.29015827178955,2,15,15,0,100
-24,80,9.26944065093994,2,16,16,0,100
-33,71,9.26944065093994,2,17,17,0,100
-23,81,9.26944065093994,2,18,18,0,100
-24,80,9.26944065093994,2,19,19,0,100
-33,71,9.26944065093994,2,20,20,0,100
-23,81,9.26944065093994,2,21,21,0,100
-33,71,9.26944065093994,2,22,22,0,100
-24,80,9.26944065093994,2,23,23,0,100
-23,82,9.28712844848633,2,24,24,0,100
-24,81,9.28712844848633,2,25,25,0,100
-24,81,9.28712844848633,2,26,26,0,100
-25,80,9.28712844848633,2,27,27,0,100
-32,73,9.28712844848633,2,28,28,0,100
-25,80,9.28712844848633,2,29,29,0,100
-24,81,9.28712844848633,2,30,30,0,100
-24,80,9.28712844848633,2,31,31,0,100
-24,80,9.285675048828125,2,32,32,0,100
-33,71,9.285675048828125,2,33,33,0,100
-24,80,9.285675048828125,2,34,34,0,100
-23,81,9.285675048828125,2,35,35,0,100
-32,72,9.285675048828125,2,36,36,0,100
-23,81,9.285675048828125,2,37,37,0,100
-32,72,9.285675048828125,2,38,38,0,100
-24,80,9.285675048828125,2,39,39,0,100
-24,80,9.273457527160645,2,40,40,0,100
-33,71,9.273457527160645,2,41,41,0,100
-22,82,9.273457527160645,2,42,42,0,100
-21,83,9.273457527160645,2,43,43,0,100
-23,81,9.273457527160645,2,44,44,0,100
-22,82,9.273457527160645,2,45,45,0,100
-24,81,9.273457527160645,2,46,46,0,100
-33,72,9.273457527160645,2,47,47,0,100
-23,82,9.269307136535645,2,48,48,0,100
-23,82,9.269307136535645,2,49,49,0,100
-33,72,9.269307136535645,2,50,50,0,100
-24,81,9.269307136535645,2,51,51,0,100
-23,82,9.269307136535645,2,52,52,0,100
-24,81,9.269307136535645,2,53,53,0,100
-22,81,9.269307136535645,2,54,54,0,100
-33,70,9.269307136535645,2,55,55,0,100
-22,81,9.277050971984863,2,56,56,0,100
-25,78,9.277050971984863,2,57,57,0,100
-31,72,9.277050971984863,2,58,58,0,100
-37,66,9.277050971984863,2,59,59,0,100
-41,62,9.277050971984863,2,60,60,0,100
-44,60,9.277050971984863,2,61,61,0,100
-36,68,9.277050971984863,2,62,62,0,100
-33,71,9.277050971984863,2,63,63,0,100
-34,70,9.299220085144043,2,64,64,0,100
-26,78,9.299220085144043,2,65,65,0,100
-33,71,9.299220085144043,2,66,66,0,100
-22,82,9.299220085144043,2,67,67,0,100
-22,82,9.299220085144043,2,68,68,0,100
-33,71,9.299220085144043,2,69,69,0,100
-25,79,9.299220085144043,2,70,70,0,100
-34,70,9.299220085144043,2,71,71,0,100
-26,78,9.30783748626709,2,72,72,0,100
-26,78,9.30783748626709,2,73,73,0,100
-34,70,9.30783748626709,2,74,74,0,100
-27,77,9.30783748626709,2,75,75,0,100
-26,77,0.01,0,628,485,143,77.2292938232422,0.9999,LORA,LORA,2026-05-18T20:45:07.513341
-28,75,0.01,0,629,486,143,77.2655029296875,0.9999,LORA,LORA,2026-05-18T20:45:09.668695
-26,77,0.01,0,630,487,143,77.3015823364258,0.9999,LORA,LORA,2026-05-18T20:45:11.612872
-27,76,0.01,0,631,488,143,77.33755493164062,0.9999,LORA,LORA,2026-05-18T20:45:13.559077
-28,75,0.01,0,632,489,143,77.3734130859375,0.9999,LORA,LORA,2026-05-18T20:45:15.606311
-30,73,0.012,0,633,490,143,77.4091567993164,0.9998,LORA,LORA,2026-05-18T20:45:17.449955
-29,74,0.012,0,634,491,143,77.4448013305664,0.9998,LORA,LORA,2026-05-18T20:45:19.602461
-27,76,0.012,0,635,492,143,77.48031616210938,0.9998,LORA,LORA,2026-05-18T20:45:21.746878
-28,75,0.012,0,636,493,143,77.5157241821289,0.9998,LORA,LORA,2026-05-18T20:45:24.203461
-33,14,0.012,0,639,494,145,77.3082962036133,0.9832,LORA,LORA,2026-05-18T20:45:30.045512
-28,19,0.011,0,641,495,146,77.22308349609375,0.9999,LORA,LORA,2026-05-18T20:45:33.725495
-26,21,0.011,0,642,496,146,77.2585678100586,0.9999,LORA,LORA,2026-05-18T20:45:35.880567
-28,19,0.011,0,643,497,146,77.29393005371094,0.9999,LORA,LORA,2026-05-18T20:45:37.720438
-27,20,0.011,0,644,498,146,77.32919311523438,0.9999,LORA,LORA,2026-05-18T20:45:39.971771
-26,21,0.011,0,645,499,146,77.36434173583984,0.9999,LORA,LORA,2026-05-18T20:45:41.801196
-26,75,0.011,0,646,500,146,77.39937591552734,0.9999,LORA,LORA,2026-05-18T20:45:43.966044
-33,68,0.011,0,647,501,146,77.43431091308594,0.9832,LORA,LORA,2026-05-18T20:45:45.857656
-26,75,0.011,0,648,502,146,77.46913146972656,0.9999,LORA,LORA,2026-05-18T20:45:47.958541
-27,74,0.007,0,649,503,146,77.5038528442383,0.9999,LORA,LORA,2026-05-18T20:45:50.113395
-27,74,0.007,0,650,504,146,77.53845977783203,0.9999,LORA,LORA,2026-05-18T20:45:52.272057
-27,74,0.007,0,651,505,146,77.57296752929688,0.9999,LORA,LORA,2026-05-18T20:45:53.945413
-28,73,0.007,0,652,506,146,77.60736083984375,0.9999,LORA,LORA,2026-05-18T20:45:55.976732
-27,77,0.007,0,653,507,146,77.6416549682617,0.9999,LORA,LORA,2026-05-18T20:45:57.898448
-28,76,0.007,0,654,508,146,77.67584228515625,0.9999,LORA,LORA,2026-05-18T20:45:59.898453
-27,77,0.007,0,655,509,146,77.70992279052734,0.9999,LORA,LORA,2026-05-18T20:46:01.886788
-27,77,0.007,0,656,510,146,77.743896484375,0.9999,LORA,LORA,2026-05-18T20:46:03.867298
-28,76,0.005,0,657,511,146,77.7777786254883,0.9999,LORA,LORA,2026-05-18T20:46:07.023826
-28,76,0.005,0,657,511,146,77.7777786254883,0.9999,LORA,LORA,2026-05-18T20:46:07.471737
-29,75,0.005,0,659,512,147,77.69347381591797,0.9999,LORA,LORA,2026-05-18T20:46:10.183744
-28,76,0.005,0,660,513,147,77.7272720336914,0.9999,LORA,LORA,2026-05-18T20:46:12.021122
-30,74,0.005,0,661,514,147,77.76097106933594,0.9999,LORA,LORA,2026-05-18T20:46:13.908694
-28,76,0.005,0,662,515,147,77.79456329345703,0.9999,LORA,LORA,2026-05-18T20:46:15.904781
-27,77,0.005,0,663,516,147,77.8280563354492,0.9999,LORA,LORA,2026-05-18T20:46:17.899389
-30,74,0.005,0,664,517,147,77.86144256591797,0.9999,LORA,LORA,2026-05-18T20:46:19.899075
-31,73,0.005,0,665,518,147,77.89473724365234,0.9944,LORA,LORA,2026-05-18T20:46:21.904710
-28,76,0.005,0,666,519,147,77.9279327392578,0.9999,LORA,LORA,2026-05-18T20:46:23.922775
-28,76,0.005,0,667,520,147,77.96102142333984,0.9999,LORA,LORA,2026-05-18T20:46:26.151691
-28,100,0.005,0,668,521,147,77.99401092529297,0.9999,LORA,LORA,2026-05-18T20:46:28.010915
-27,101,0.005,0,669,522,147,78.0269088745117,0.9999,LORA,LORA,2026-05-18T20:46:30.145234
-30,98,0.005,0,670,523,147,78.05970001220703,0.9999,LORA,LORA,2026-05-18T20:46:31.897988
-28,100,0.005,0,671,524,147,78.09239959716797,0.9999,LORA,LORA,2026-05-18T20:46:33.934504
-29,99,0.005,0,672,525,147,78.125,0.9999,LORA,LORA,2026-05-18T20:46:35.986964
-29,99,0.005,0,673,526,147,78.15750122070312,0.9999,LORA,LORA,2026-05-18T20:46:38.137249
-27,101,0.005,0,674,527,147,78.18991088867188,0.9999,LORA,LORA,2026-05-18T20:46:39.975380
-38,67,0.031,148,749,1,748,0.13351134955883026,0.9551,LORA,LORA,2026-06-24T12:13:43.574599
-40,65,0.031,148,750,2,748,0.2666666507720947,0.944,LORA,LORA,2026-06-24T12:13:43.871019
-41,64,0.031,148,751,3,748,0.399467408657074,0.9385,LORA,LORA,2026-06-24T12:13:44.484971
-35,70,0.031,148,752,4,748,0.5319148898124695,0.9718,LORA,LORA,2026-06-24T12:13:44.485368
-36,69,0.031,148,753,5,748,0.6640106439590454,0.9663,LORA,LORA,2026-06-24T12:13:44.592887
-34,71,0.031,300,754,6,748,0.7957559823989868,0.9774,LORA,LORA,2026-06-24T12:13:44.593252
-36,69,0.031,148,753,5,748,0.6640106439590454,0.9663,LORA,LORA,2026-06-24T12:13:44.593472
-38,65,0.031,300,755,7,748,0.9271522760391235,0.9551,LORA,LORA,2026-06-24T12:13:45.622783
-39,64,0.031,300,756,8,748,1.05820107460022,0.9496,LORA,LORA,2026-06-24T12:13:47.567597
-38,65,0.031,300,757,9,748,1.188903570175171,0.9551,LORA,LORA,2026-06-24T12:13:49.718632
-44,59,0.031,300,758,10,748,1.3192611932754517,0.9218,LORA,LORA,2026-06-24T12:13:51.663924
-41,62,0.031,300,759,11,748,1.4492753744125366,0.9385,LORA,LORA,2026-06-24T12:13:53.602698
-39,64,0.03,300,760,12,748,1.5789473056793213,0.9496,LORA,LORA,2026-06-24T12:13:55.655911
-42,61,0.03,300,761,13,748,1.7082786560058594,0.9329,LORA,LORA,2026-06-24T12:13:57.704102
-39,64,0.03,300,762,14,748,1.8372703790664673,0.9496,LORA,LORA,2026-06-24T12:13:59.648683
-39,64,0.03,300,763,15,748,1.9659240245819092,0.9496,LORA,LORA,2026-06-24T12:14:01.696301
-40,63,0.03,300,764,16,748,2.09424090385437,0.944,LORA,LORA,2026-06-24T12:14:03.745129
-36,67,0.03,300,765,17,748,2.222222328186035,0.9663,LORA,LORA,2026-06-24T12:14:05.794510
-41,62,0.03,300,767,18,749,2.3468055725097656,0.9385,LORA,LORA,2026-06-24T12:14:09.826092
-41,62,0.031,174,768,19,749,2.4739584922790527,0.9385,LORA,LORA,2026-06-24T12:14:11.733638
-40,88,0.031,174,769,20,749,2.6007802486419678,0.944,LORA,LORA,2026-06-24T12:14:13.777473
-41,87,0.031,174,770,21,749,2.7272727489471436,0.9385,LORA,LORA,2026-06-24T12:14:15.825276
