RSSI_dBm,SNR_dB,Distance_km,Radiation_Wm2,Expected_Packets,Received_Packets,Packet_Loss,PDR_Percent
-17,87,0.0020,0,86,86,0,100
-15,89,0.0046,0,87,87,0,100
-33,71,0.0073,0,88,88,0,100
-15,89,0.0099,0,89,89,0,100
-17,88,0.0125,0,91,90,1,98.9011001586914
-15,90,0.0152,0,92,91,1,98.9130401611328
-15,90,0.0178,0,93,92,1,98.9247283935547
-13,92,0.0204,0,94,93,1,98.93617248535156
-15,90,0.0231,0,95,94,1,98.94737243652344
-15,90,0.0257,0,96,95,1,98.9583282470703
-25,80,0.0283,0,97,96,1,98.9690704345703
-44,59,0.0310,0,98,97,1,98.9795913696289
-43,60,0.0336,0,99,98,1,98.98989868164062
-44,59,0.0362,0,100,99,1,99
-49,54,0.0389,0,101,100,1,99.00990295410156
-53,50,0.0415,0,102,101,1,99.0196075439453
-50,53,0.0441,0,103,102,1,99.0291213989258
-45,58,0.0468,0,104,103,1,99.03846740722656
-44,17,0.0494,0,106,104,2,98.1132125854492
-53,8,0.0520,0,107,105,2,98.1308364868164
-51,10,0.0547,0,108,106,2,98.1481475830078
-53,8,0.0573,0,109,107,2,98.1651382446289
-54,7,0.0599,0,110,108,2,98.18182373046875
-53,8,0.0626,0,111,109,2,98.1981964111328
-53,8,0.0652,0,112,110,2,98.2142868041992
-54,52,0.0678,0,113,111,2,98.23008728027344
-53,53,0.0705,0,114,112,2,98.24561309814453
-53,53,0.0731,0,115,113,2,98.2608642578125
-54,52,0.0757,0,116,114,2,98.27586364746094
-53,53,0.0784,0,117,115,2,98.2905960083008
-53,53,0.0810,0,118,116,2,98.30508422851562
-52,54,0.0836,0,119,117,2,98.31932830810547
-51,52,0.0863,0,121,118,3,97.52066040039062
-50,53,0.0889,0,122,119,3,97.54098510742188
-53,50,0.0915,0,123,120,3,97.56097412109375
-52,51,0.0942,0,124,121,3,97.58065032958984
-50,53,0.0968,0,125,122,3,97.5999984741211
-49,54,0.0994,0,126,123,3,97.6190414428711
-51,52,0.1021,0,127,124,3,97.6377944946289
-58,45,0.1047,0,128,125,3,97.65625
-52,51,0.1073,0,129,126,3,97.6744155883789
-56,47,0.1100,0,130,127,3,97.6923065185547
-49,54,0.1126,0,131,128,3,97.70992279052734
-49,54,0.1152,0,132,129,3,97.7272720336914
-46,57,0.1179,0,133,130,3,97.7443618774414
-50,53,0.1205,0,134,131,3,97.76119232177734
-45,59,0.1231,0,136,132,4,97.05882263183594
-49,55,0.1258,0,137,133,4,97.08029174804688
-53,51,0.1284,0,138,134,4,97.10144805908203
-68,36,0.1310,0,139,135,4,97.12229919433594
-47,57,0.1337,0,140,136,4,97.14286041259766
-54,50,0.1363,0,141,137,4,97.16312408447266
-50,54,0.1389,0,142,138,4,97.18309783935547
-51,54,0.1416,0,143,139,4,97.20279693603516
-52,53,0.1442,0,144,140,4,97.2222213745117
-59,46,0.1468,0,145,141,4,97.2413787841797
-59,46,0.1495,0,146,142,4,97.26026916503906
-62,43,0.1521,0,147,143,4,97.2789077758789
-62,43,0.1547,0,148,144,4,97.29730224609375
-62,43,0.1574,0,149,145,4,97.31543731689453
-63,12,0.1600,0,151,146,5,96.6887435913086
-78,-3,0.1603,0,152,147,5,96.7105255126953
-67,8,0.1606,0,153,148,5,96.73202514648438
-69,6,0.1609,0,154,149,5,96.7532424926758
-77,-2,0.1612,0,155,150,5,96.7741928100586
-77,-2,0.1616,0,156,151,5,96.7948760986328
-74,1,0.1619,0,157,152,5,96.8152847290039
-87,9,0.1622,0,158,153,5,96.83544158935547
-77,19,0.1625,0,159,154,5,96.8553466796875
-81,15,0.1628,0,160,155,5,96.875
-92,4,0.1631,0,161,156,5,96.8944091796875
-79,17,0.1634,0,162,157,5,96.91358184814453
-86,10,0.1637,0,163,158,5,96.93251037597656
-94,2,0.1640,0,164,159,5,96.9512252807617
-97,7,0.1643,0,166,160,6,96.3855438232422
-96,8,0.1647,0,167,161,6,96.40718841552734
-96,8,0.1650,0,168,162,6,96.42857360839844
-96,8,0.1653,0,169,163,6,96.44969940185547
-87,17,0.1656,0,170,164,6,96.47058868408203
-96,8,0.1659,0,173,165,8,95.37572479248047
-94,10,0.1662,0,174,166,8,95.4022979736328
-96,8,0.1665,0,175,167,8,95.42857360839844
-96,8,0.1668,0,176,168,8,95.4545440673828
-101,3,0.1671,0,177,169,8,95.480224609375
-100,4,0.1675,0,178,170,8,95.505615234375
-102,2,0.1678,0,179,171,8,95.53072357177734
-102,3,0.1681,0,181,172,9,95.02762603759766
-103,2,0.1684,0,182,173,9,95.05493927001953
-104,1,0.1687,0,183,174,9,95.08197021484375
-104,1,0.1690,0,184,175,9,95.1086959838867
-100,5,0.1693,0,185,176,9,95.1351318359375
-103,2,0.1696,0,186,177,9,95.16128540039062
-103,2,0.1699,0,187,178,9,95.18716430664062
-104,0,0.1702,0,192,179,13,93.2291717529297
-103,1,0.1706,0,193,180,13,93.26424407958984
-103,1,0.1709,0,194,181,13,93.2989730834961
-102,3,0.1712,0,196,182,14,92.85713958740234
-103,2,0.1715,0,198,183,15,92.4242401123047
-102,3,0.1718,0,199,184,15,92.46231079101562
-103,2,0.1721,0,200,185,15,92.5
-102,3,0.1724,0,201,186,15,92.53731536865234
-101,4,0.1727,0,202,187,15,92.57425689697266
-103,1,0.1730,0,203,188,15,92.61083984375
-103,1,0.1734,0,205,189,16,92.1951217651367
-102,2,0.1737,0,206,190,16,92.2330093383789
-102,2,0.1740,0,208,191,17,91.82691955566406
-103,1,0.1743,0,209,192,17,91.86602783203125
-102,2,0.1746,0,211,193,18,91.4691925048828
-103,1,0.1749,0,212,194,18,91.50942993164062
-103,1,0.1752,0,213,195,18,91.5492935180664
-102,2,0.1755,0,214,196,18,91.58878326416016
-103,1,0.1758,0,215,197,18,91.6279067993164
-101,3,0.1761,0,216,198,18,91.6666717529297
-103,0,0.1765,0,218,199,19,91.28440856933594
-104,-1,0.1768,0,219,200,19,91.3241958618164
-103,0,0.1771,0,220,201,19,91.36363983154297
-102,1,0.1774,0,221,202,19,91.40271759033203
-103,0,0.1777,0,222,203,19,91.44143676757812
-104,-1,0.1780,0,223,204,19,91.47982025146484
-104,-1,0.1783,0,224,205,19,91.51786041259766
-104,0,0.1786,0,226,206,20,91.1504440307617
-104,0,0.1789,0,227,207,20,91.18942260742188
-103,1,0.1793,0,228,208,20,91.22806549072266
-104,0,0.1796,0,233,209,24,89.69956970214844
-104,0,0.1799,0,234,210,24,89.74359130859375
-104,0,0.1802,0,237,211,26,89.029541015625
-103,1,0.1805,0,241,212,29,87.96680450439453
-102,2,0.1808,0,242,213,29,88.0165252685547
-103,1,0.1811,0,243,214,29,88.0658416748047
-103,1,0.1814,0,244,215,29,88.11475372314453
-104,0,0.1817,0,245,216,29,88.1632614135742
-104,0,0.1820,0,246,217,29,88.2113800048828
-104,0,0.1824,0,247,218,29,88.2591094970703
-104,-1,0.1827,0,253,219,34,86.56126403808594
-104,-1,0.1830,0,254,220,34,86.61417388916016
-102,0,0.1833,0,256,221,35,86.328125
-103,-1,0.1836,0,257,222,35,86.3813247680664
-103,-1,0.1839,0,258,223,35,86.4341049194336
-103,-1,0.1842,0,259,224,35,86.48648834228516
-103,-1,0.1845,0,260,225,35,86.53846740722656
-103,-1,0.1848,0,262,226,36,86.2595443725586
-104,-1,0.1852,0,263,227,36,86.3117904663086
-104,-1,0.1855,0,264,228,36,86.36363983154297
-104,-1,0.1858,0,265,229,36,86.4150924682617
-103,0,0.1861,0,266,230,36,86.4661636352539
-102,1,0.1864,0,267,231,36,86.51685333251953
-103,0,0.1867,0,273,232,41,84.981689453125
-104,-1,0.1870,0,274,233,41,85.0364990234375
-103,0,0.1873,0,275,234,41,85.09091186523438
-104,-1,0.1876,0,279,235,44,84.2293930053711
-104,-1,0.1880,0,280,236,44,84.2857131958008
-101,2,0.1883,0,284,237,47,83.4507064819336
-103,0,0.1886,0,287,238,49,82.9268264770508
-104,-1,0.1889,0,289,239,50,82.69895935058594
-101,2,0.1892,0,299,240,59,80.26756286621094
-102,1,0.1895,0,301,241,60,80.06644439697266
-102,1,0.1898,0,302,242,60,80.1324462890625
-102,1,0.1901,0,303,243,60,80.1980209350586
-103,0,0.1904,0,304,244,60,80.26315307617188
-103,0,0.1907,0,306,245,61,80.0653610229492
-104,0,0.1911,0,310,246,64,79.35484313964844
-103,1,0.1914,0,313,247,66,78.91373443603516
-103,0,0.1917,0,316,248,68,78.4810104370117
-103,0,0.1920,0,317,249,68,78.5488967895508
-103,0,0.1923,0,318,250,68,78.61634826660156
-102,1,0.1926,0,319,251,68,78.68338775634766
-103,0,0.1929,0,320,252,68,78.75
-103,-1,0.1932,0,331,253,78,76.43505096435547
-95,8,0.1935,0,349,254,95,72.7793731689453
-104,-1,0.1939,0,351,255,96,72.64957427978516
-104,-20,0.1942,0,354,256,98,72.3163833618164
-103,-19,0.1945,0,357,257,100,71.98880004882812
-104,-20,0.1948,0,358,258,100,72.0670394897461
-102,-18,0.1951,0,359,259,100,72.1448516845703
-104,-1,0.1954,0,362,260,102,71.82320404052734
-103,0,0.1957,0,363,261,102,71.9008255004883
-104,-1,0.1960,0,364,262,102,71.97801971435547
-104,-1,0.1963,0,365,263,102,72.05479431152344
-102,1,0.1966,0,366,264,102,72.13114166259766
-104,-1,0.1970,0,367,265,102,72.2070846557617
-102,1,0.1973,0,371,266,105,71.69811248779297
-103,0,0.1976,0,372,267,105,71.7741928100586
-103,0,0.1979,0,373,268,105,71.84986114501953
-104,-1,0.1982,0,374,269,105,71.92513275146484
-104,-1,0.1985,0,376,270,106,71.80850982666016
-103,0,0.1988,0,377,271,106,71.88329315185547
-96,7,0.1991,0,379,272,107,71.76781463623047
-103,0,0.1994,0,380,273,107,71.84210205078125
-104,-1,0.1998,0,388,274,114,70.61856079101562
-103,0,0.2001,0,391,275,116,70.33248138427734
-102,1,0.2004,0,392,276,116,70.40816497802734
-103,0,0.2007,0,393,277,116,70.48345947265625
-103,0,0.2010,0,394,278,116,70.5583724975586
-103,0,0.2013,0,395,279,116,70.6329116821289
-104,1,0.2016,0,432,280,152,64.81481170654297
-104,1,0.2019,0,433,281,152,64.8960723876953
-103,0,0.2022,0,437,282,155,64.53089141845703
-104,-1,0.2026,0,438,283,155,64.6118698120117
-104,-1,0.2029,0,439,284,155,64.6924819946289
-103,0,0.2032,0,440,285,155,64.7727279663086
-104,-1,0.2035,0,441,286,155,64.8526077270508
-103,1,0.2038,0,448,287,161,64.0625
-104,-1,0.2041,0,451,288,163,63.85809326171875
-104,-1,0.2044,0,453,289,164,63.7969093322754
-103,2,0.2047,0,462,290,172,62.770565032958984
-103,2,0.2050,0,464,291,173,62.715518951416016
-104,1,0.2053,0,466,292,174,62.660945892333984
-104,1,0.2057,0,467,293,174,62.74089813232422
-104,1,0.2060,0,468,294,174,62.82051086425781
-103,2,0.2063,0,469,295,174,62.89978790283203
-103,2,0.2066,0,470,296,174,62.978721618652344
-103,2,0.2069,0,471,297,174,63.05732727050781
-103,2,0.2072,0,472,298,174,63.13559341430664
-103,-3,0.2075,0,473,299,174,63.213531494140625
-104,-4,0.2078,0,474,300,174,63.2911376953125
-104,-4,0.2081,0,475,301,174,63.36842346191406
